termo,mean_tfidf
hay,0.004703415994590179
title download,0.004697864775541367
pensando,0.004693563905764848
novo,0.00467060113067013
consultora meeting,0.004665518977603933
todo mundo,0.004664638049300776
passo,0.004642780161188374
vejo,0.004639379342730124
mostrar,0.0046376405940626465
title consultora,0.004625595908453105
talvez,0.004602122161089486
gracias,0.004601200633578599
nunca,0.004599945973456521
deu,0.004596608949143665
cor,0.004594036201170701
compro,0.004572235090787796
speaker entendi,0.004570609619009938
chama,0.004567405562791604
esa,0.004555295834798507
primeiro,0.004550038067711788
caso,0.0045392216820334995
pergunta,0.004525453018751812
vao,0.004506674144112675
siento,0.00450202307107017
meninas,0.004483838017232573
interessante,0.0044701429322041115
disso,0.0044476906536179365
enfim,0.0043974971577878125
sentido,0.004383733721387377
viu,0.004378645388114884
teve,0.0043549467176999005
site,0.004349811271157494
posso,0.004326208273129708
pensar,0.004322291650049964
beleza,0.004303970198847131
sensacao,0.004285051574042875
shampoo,0.004253599351900752
lugar,0.00425019534091954
speaker tambem,0.004247797455531836
primeira,0.004241972902713136
faco,0.004240461818920699
consumidora,0.004224955217774848
experiencia,0.0042084616293801965
vontade,0.004194264668471192
desde,0.004193603875273478
perfumaria,0.004187100132640779
caixa,0.0041742449361705375
vida,0.004170360116307992
natura speaker,0.004167822322561082
consegue,0.0041650920393781505
tava,0.004163694719095294
outros,0.004160099483753154
dai,0.004149456470166759
palavra,0.0041481034538097565
mostra,0.004145726068641159
algumas,0.004121785454169414
idea,0.00411986411664757
negra,0.004105409865342837
fui,0.00409237472962183
fazendo,0.004085579813408478
speaker perfecto,0.004081948944115644
sentir,0.004077918664927963
ecos,0.004043301245639888
ponto,0.004040221488592204
olhar,0.0040173159605987364
speaker pra,0.003997926964574975
mais speaker,0.003976775873687566
cfs,0.003971065577525716
rosto,0.00396314897732677
voy,0.003960674511800951
cfs meeting,0.00396001245838686
otimo,0.003944393174079699
radiosa cfs,0.0039355156945326784
deixar,0.003929147628268589
acaba,0.0039228996238319675
refil,0.003902890246422599
clientes,0.0038914801694856943
promocao,0.0038886053182742744
digo,0.0038839957593233125
final,0.0038665623649251925
cabeca,0.003863661019693539
grande,0.0038625643435501516
kit,0.0038537009352514356
amiga,0.0038500625388447935
tiempo,0.00384925600053981
tchau,0.003841217513725665
ese,0.003829577787582821
lider,0.003815450207505999
pro,0.003806210224742643
facil,0.0037938778732394406
falo,0.0037895706566900824
mucho,0.0037854496368665185
noite,0.0037690413815198056
pessoal,0.0037630753455887528
cuidar,0.00375685100676498
comecar,0.0037505640905901604
crema,0.0037424014204047837
lembra,0.003737333665879656
concorrencia,0.003724200055408133
banho,0.0037209850526014735
acido,0.0037190864628369354
colocar,0.0037174746526254317
assim speaker,0.0037160061305387395
pegar,0.003707373800955638
speaker legal,0.0037072770942775863
otra,0.003704523107105158
uno,0.003685753524473413
video,0.0036802804747749513
qualquer,0.003675845096930267
oleo,0.003664549050902758
tem alguma,0.003654281754721723
qualidade,0.0036469234697490125
tudo bem,0.0036373808948014586
consultoras,0.003633659177200012
jack,0.0036321955094473827
speaker vai,0.0036250813664253593
exatamente,0.0036183012471460085
problema,0.003615335638515262
lado,0.003605828743943021
fez,0.003602260276444694
negocio,0.0036002427159980252
title jack,0.0035971262800308886
pearson,0.0035902085386408412
certo,0.0035817640277346872
jack pearson,0.003579832250306897
decir,0.003579619254316688
pearson meeting,0.003573125478937554
productos,0.0035722257807089823
consumidora meeting,0.003566240190717751
gusta,0.003564716727287774
speaker agora,0.0035543505361237274
chicas,0.0035536240170487877
title consumidora,0.0035465211684912647
venda,0.0035349227503391426
mercado,0.003530750936213704
mulheres,0.003530609358441023
acredito,0.00351994793992355
