doc_id,speaker_id,role_inferido,n_turns,n_words,question_rate,word_share
doc_304cab7668293378,5,participant_or_unknown,51,1337,0.39215686274509803,0.10478877654988636
doc_304cab7668293378,6,participant_or_unknown,6,184,0.3333333333333333,0.014421192883454816
doc_31188a538d1b01b5,1,interviewer_heuristic,50,2980,0.7,0.36708548903670857
doc_31188a538d1b01b5,2,interviewer_heuristic,45,1274,0.6666666666666666,0.15693520571569353
doc_31188a538d1b01b5,3,interviewer_heuristic,39,3864,0.8717948717948718,0.4759793052475979
doc_31b742a33ba14cee,1,participant_or_unknown,39,612,0.41025641025641024,0.045997745208568204
doc_31b742a33ba14cee,2,interviewer_heuristic,97,2503,0.5876288659793815,0.18812476512589252
doc_31b742a33ba14cee,3,interviewer_heuristic,248,5559,0.6854838709677419,0.4178128523111612
doc_31b742a33ba14cee,4,interviewer_heuristic,46,2051,0.6956521739130435,0.15415257422021797
doc_31b742a33ba14cee,5,interviewer_heuristic,58,1354,0.5,0.1017662532882375
doc_31b742a33ba14cee,6,participant_or_unknown,45,1029,0.4444444444444444,0.07733934611048478
doc_31b742a33ba14cee,7,participant_or_unknown,8,197,0.125,0.014806463735437805
doc_33640fb8f77ec4a8,1,interviewer_heuristic,78,4828,0.8076923076923077,0.4720375439968713
doc_33640fb8f77ec4a8,2,interviewer_heuristic,44,1274,0.5681818181818182,0.12456003128666406
doc_33640fb8f77ec4a8,3,interviewer_heuristic,85,4126,0.6941176470588235,0.4034024247164646
doc_33806bf9e4eb621f,1,interviewer_heuristic,48,1475,0.8541666666666666,0.4255626081938834
doc_33806bf9e4eb621f,2,interviewer_heuristic,54,1991,0.6111111111111112,0.5744373918061165
doc_35dea0d9c934b094,1,interviewer_heuristic,35,2294,0.8,0.17188670762775363
doc_35dea0d9c934b094,2,interviewer_heuristic,125,3148,0.8,0.23587591787801587
doc_35dea0d9c934b094,3,interviewer_heuristic,49,2421,0.6530612244897959,0.18140266746590739
doc_35dea0d9c934b094,4,interviewer_heuristic,45,1923,0.6222222222222222,0.14408811628952495
doc_35dea0d9c934b094,5,interviewer_heuristic,19,1342,0.5263157894736842,0.10055447325041211
doc_35dea0d9c934b094,6,interviewer_heuristic,35,2218,0.6571428571428571,0.16619211748838603
doc_362e84f5248b2753,1,participant_or_unknown,1,3,0.0,0.014218009478672985
doc_362e84f5248b2753,2,participant_or_unknown,1,7,0.0,0.03317535545023697
doc_362e84f5248b2753,3,participant_or_unknown,4,28,0.5,0.13270142180094788
doc_362e84f5248b2753,4,participant_or_unknown,1,5,1.0,0.023696682464454975
doc_362e84f5248b2753,5,participant_or_unknown,2,14,0.0,0.06635071090047394
doc_362e84f5248b2753,6,participant_or_unknown,5,37,0.2,0.17535545023696683
doc_362e84f5248b2753,7,participant_or_unknown,2,14,0.0,0.06635071090047394
doc_362e84f5248b2753,8,interviewer_heuristic,4,31,1.0,0.14691943127962084
doc_362e84f5248b2753,9,participant_or_unknown,4,18,0.25,0.08530805687203792
doc_362e84f5248b2753,10,participant_or_unknown,1,2,0.0,0.009478672985781991
doc_362e84f5248b2753,11,participant_or_unknown,1,2,0.0,0.009478672985781991
doc_362e84f5248b2753,12,participant_or_unknown,1,7,0.0,0.03317535545023697
doc_362e84f5248b2753,13,participant_or_unknown,1,7,0.0,0.03317535545023697
doc_362e84f5248b2753,14,participant_or_unknown,1,20,1.0,0.0947867298578199
doc_362e84f5248b2753,15,participant_or_unknown,1,3,0.0,0.014218009478672985
doc_362e84f5248b2753,19,participant_or_unknown,1,3,1.0,0.014218009478672985
doc_362e84f5248b2753,20,participant_or_unknown,1,4,1.0,0.018957345971563982
doc_362e84f5248b2753,25,participant_or_unknown,1,6,0.0,0.02843601895734597
doc_363006063b67a33f,1,interviewer_heuristic,46,2020,0.6304347826086957,0.16730163988736127
doc_363006063b67a33f,2,interviewer_heuristic,161,3179,0.7639751552795031,0.2632930263375849
doc_363006063b67a33f,3,interviewer_heuristic,47,2407,0.6595744680851063,0.19935398376677158
doc_363006063b67a33f,4,interviewer_heuristic,49,1340,0.5918367346938775,0.11098227596488322
doc_363006063b67a33f,5,interviewer_heuristic,34,1802,0.7647058823529411,0.14924631439456684
doc_363006063b67a33f,6,interviewer_heuristic,24,656,0.625,0.05433162166639059
doc_363006063b67a33f,7,interviewer_heuristic,29,514,0.4827586206896552,0.042570813317873116
doc_363006063b67a33f,8,interviewer_heuristic,6,156,1.0,0.012920324664568494
doc_3662c092fa45c669,1,interviewer_heuristic,10,105,0.6,0.012393767705382436
doc_3662c092fa45c669,2,interviewer_heuristic,60,1388,0.6166666666666667,0.16383380547686496
doc_3662c092fa45c669,3,interviewer_heuristic,62,2170,0.5483870967741935,0.256137865911237
doc_3662c092fa45c669,4,interviewer_heuristic,82,4809,0.6341463414634146,0.5676345609065155
doc_37e5a363a19d31b7,1,interviewer_heuristic,60,1052,0.85,0.3161057692307692
doc_37e5a363a19d31b7,2,interviewer_heuristic,54,2265,0.5740740740740741,0.6805889423076923
doc_37e5a363a19d31b7,3,participant_or_unknown,3,11,0.3333333333333333,0.0033052884615384615
doc_39321562bc6f4763,1,interviewer_heuristic,233,6605,0.6866952789699571,0.4222875775206189
doc_39321562bc6f4763,2,interviewer_heuristic,30,689,0.6666666666666666,0.044050891886708014
doc_39321562bc6f4763,3,interviewer_heuristic,47,1213,0.5106382978723404,0.07755258615178058
doc_39321562bc6f4763,4,interviewer_heuristic,44,1202,0.5454545454545454,0.07684930631033822
doc_39321562bc6f4763,5,participant_or_unknown,36,866,0.3333333333333333,0.05536730388082604
doc_39321562bc6f4763,6,interviewer_heuristic,21,453,0.6190476190476191,0.028962342561217314
doc_39321562bc6f4763,7,interviewer_heuristic,66,4250,0.7424242424242424,0.271721756920913
doc_39321562bc6f4763,8,participant_or_unknown,13,363,0.23076923076923078,0.02320823476759798
doc_399dacb2736f0f29,1,interviewer_heuristic,144,3500,0.8402777777777778,0.23910370269162454
doc_399dacb2736f0f29,2,interviewer_heuristic,55,2438,0.6,0.16655280776062303
doc_399dacb2736f0f29,3,interviewer_heuristic,31,1312,0.4838709677419355,0.0896297308375461
doc_399dacb2736f0f29,4,interviewer_heuristic,43,1820,0.5348837209302325,0.12433392539964476
doc_399dacb2736f0f29,5,interviewer_heuristic,22,1321,0.8181818181818182,0.09024456893018172
doc_399dacb2736f0f29,6,interviewer_heuristic,24,1355,0.7083333333333334,0.09256729061347178
doc_399dacb2736f0f29,7,interviewer_heuristic,21,899,0.7142857142857143,0.061415493919934415
doc_399dacb2736f0f29,8,interviewer_heuristic,33,1993,0.7272727272727273,0.13615247984697362
doc_3a9c3f93806290fb,1,participant_or_unknown,3,313,1.0,0.01949669864208297
doc_3a9c3f93806290fb,2,interviewer_heuristic,236,6406,0.826271186440678,0.39902827955649683
doc_3a9c3f93806290fb,3,interviewer_heuristic,48,2432,0.6666666666666666,0.15148872555126447
doc_3a9c3f93806290fb,4,interviewer_heuristic,44,1573,0.4772727272727273,0.09798181138657032
doc_3a9c3f93806290fb,5,interviewer_heuristic,25,1461,0.68,0.09100535692039367
doc_3a9c3f93806290fb,6,interviewer_heuristic,66,1968,0.45454545454545453,0.12258627133424692
doc_3a9c3f93806290fb,7,participant_or_unknown,57,1901,0.43859649122807015,0.11841285660894481
doc_3d71a73387cbd4a7,1,interviewer_heuristic,229,4176,0.851528384279476,0.2865769969805106
doc_3d71a73387cbd4a7,2,interviewer_heuristic,79,3824,0.5949367088607594,0.2624210815262147
doc_3d71a73387cbd4a7,3,interviewer_heuristic,25,958,0.68,0.06574251990118035
doc_3d71a73387cbd4a7,4,participant_or_unknown,45,1411,0.4444444444444444,0.09682953609662366
doc_3d71a73387cbd4a7,5,interviewer_heuristic,34,550,0.47058823529411764,0.03774361789733736
