doc_id,old_n_chunks,old_mean_words,old_p50_words,new_n_chunks,new_mean_words,new_p50_words,new_kept_chunks,delta_n_chunks_new_minus_old,ratio_new_old_chunks
doc_d3a4fcca193fb469,80,201.3375,203.0,39,279.28205128205127,276.0,39,-41,0.4875
doc_d42528cd9f4f9278,128,207.234375,207.0,60,263.45,259.5,59,-68,0.46875
doc_d52d828ab53d85d0,55,209.01818181818183,212.0,34,260.38235294117646,268.5,33,-21,0.6181818181818182
doc_d61537ccd540a8ec,112,198.59821428571428,202.0,55,278.2909090909091,277.0,54,-57,0.49107142857142855
doc_d64503ab71e69ea1,17,208.05882352941177,205.0,9,283.55555555555554,288.0,7,-8,0.5294117647058824
doc_d7948b6302ad2fee,127,198.84251968503938,199.0,55,262.3090909090909,257.0,52,-72,0.4330708661417323
doc_d9b928d2f9d57ae9,131,201.9236641221374,203.0,63,264.3015873015873,257.0,62,-68,0.48091603053435117
doc_dbba6e8dcfd5390a,80,208.4875,210.0,46,274.3695652173913,277.0,45,-34,0.575
doc_de596209415382fe,30,199.33333333333334,202.5,15,268.06666666666666,262.0,14,-15,0.5
doc_e5652afcdfc168fe,115,206.9913043478261,209.0,60,273.6,267.0,0,-55,0.5217391304347826
doc_e64af23fbf476840,115,207.81739130434784,210.0,65,278.1384615384615,282.0,0,-50,0.5652173913043478
doc_e668ad5d413dd19f,120,206.63333333333333,207.5,64,269.484375,268.0,64,-56,0.5333333333333333
doc_e6f876a11a7cffdd,104,207.68269230769232,208.0,50,272.18,274.5,49,-54,0.4807692307692308
doc_e88651825b162294,61,208.40983606557376,209.0,36,268.3611111111111,272.5,35,-25,0.5901639344262295
doc_e9d9fb1438841663,22,206.22727272727272,209.0,12,273.5833333333333,269.5,12,-10,0.5454545454545454
doc_eb6a4496f5f5d136,61,203.62295081967213,206.0,32,279.34375,274.5,31,-29,0.5245901639344263
doc_ec00d9b912869528,45,199.26666666666668,201.0,21,272.5238095238095,265.0,20,-24,0.4666666666666667
doc_ecbea0911b71e6fa,109,205.12844036697248,206.0,53,265.8867924528302,265.0,52,-56,0.48623853211009177
doc_ee180b4e719d4d7e,94,221.85106382978722,223.0,61,283.4754098360656,286.0,59,-33,0.648936170212766
doc_ee8d1372d1a391aa,36,205.5,211.5,21,267.85714285714283,259.0,21,-15,0.5833333333333334
doc_eeb118edb6d745e0,56,204.58928571428572,205.5,32,277.71875,274.0,32,-24,0.5714285714285714
doc_f17a8b4e6ffe8287,24,199.58333333333334,205.0,13,264.46153846153845,264.0,13,-11,0.5416666666666666
doc_f32e185da3913dd6,27,205.55555555555554,206.0,14,267.2857142857143,263.0,13,-13,0.5185185185185185
doc_f40017cf17c84e54,44,208.6818181818182,212.0,26,267.53846153846155,268.5,25,-18,0.5909090909090909
doc_f497f66116fbe1ab,31,203.38709677419354,211.0,15,284.06666666666666,266.0,14,-16,0.4838709677419355
doc_fbdf5e17373e8de3,60,203.6,206.0,31,271.0967741935484,265.0,30,-29,0.5166666666666667
doc_fcc334ae6da3d7f2,46,207.3695652173913,207.5,27,266.14814814814815,273.0,26,-19,0.5869565217391305
doc_ff5e78e6e44318bb,33,207.03030303030303,209.0,18,263.0,268.0,17,-15,0.5454545454545454
